PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/09/2024,9:07:16 PM,1,1,Morgan Leinstock,leinsmo10,Right,Arkansas,Jenna Laird,lairdje10,Left,Missouri,,1,Top,0,0,0,Dropball,,BallCalled,,,,,,,63.81528643945855,4.18188663755119,-0.040217785605081074,1272.38577125186,340.1185981429994,5:15,2.49229734166404,0.8309226417607308,6.0000001920000035,-41.06960056916568,-10.429310713413276,4.157505655706935,1.6807378938713835,1.1523166095362185,59.05745314913247,-7.228881569243252,1.1195618189943115,0.39839874082649274,,,,,,,,,,,,-4.837516646279156,-13.606129179601208,-0.8803785137064624,49.99999999999999,1.1516375075380316,0.6613619532039119,-95.88563896011014,12.879270277154841,-4.3787153108067,18.65928421534658,-44.489741813200574,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,b7b818fa-76b4-4847-9e58-3c89983662b3,63.838563586036535,2.4842478178451404,0.8331717770432207,4.322600435902437,-0.0798740969119702,59.04825406240718,1.6864641023657416,1.1507333895025154,-7.108246660112727,1.0857408432151012,0.39838869648646846,4.40809680286867,-12.125117651176469,-10.64146631640989,,1250.503231737636,-234.9621635453656,98.2801961473764,0.9242255535373872,-0.1846626776674764,-0.3342257046745328,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
2,05/09/2024,9:07:33 PM,1,2,Morgan Leinstock,leinsmo10,Right,Arkansas,Jenna Laird,lairdje10,Left,Missouri,,1,Top,0,1,0,Riseball,,BallCalled,,,,,,,63.265269605774144,5.987636716438434,0.400090103429839,1269.4653552827383,341.54853425662293,5:30,2.5245067673576504,0.6817079408114542,6.0000001920000035,-41.980332651434196,-10.675250715433695,3.98030162639963,2.77154394812961,1.2627511703271141,58.30454707514036,-5.672467821063943,1.5093235375289773,0.402697510558878,,,,,,,,,,,,-4.47676122964295,-14.507201978759566,-0.6305736978655683,50.0,0.7651374678672714,-0.0984037828148347,-94.74755374079288,15.878221805669877,-3.965665662482186,17.917982458549716,-45.025017014175496,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,bc96de87-f98c-42ac-bca6-43928fd13687,63.29086422472441,2.5160404187361,0.6836514497442882,6.134828522220528,0.3658333754984397,58.29583643632694,2.7774168263252372,1.2614129195900738,-5.547242805474501,1.4805532701357615,0.40269028701047727,4.197128980060959,-12.38485057855169,-7.3862459114185715,,1258.9313972390912,-163.1993422436459,99.17020515764284,0.9407207298804079,-0.1285575392542302,-0.31387492329615907,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
3,05/09/2024,9:07:51 PM,1,3,Morgan Leinstock,leinsmo10,Right,Arkansas,Jenna Laird,lairdje10,Left,Missouri,,1,Top,0,2,0,Dropball,,InPlay,,LineDrive,Single,0,0,,63.28503935532578,5.066479499283329,-1.5593493792284743,1279.666951497396,340.03717876596016,5:15,2.4635505518234537,0.7448720194387675,6.0000001920000035,-41.68014096213923,-10.463602930655878,4.244202500705671,2.1572058508468896,0.12648535843057376,58.45263516011645,-6.510462735147997,-0.3764500739124275,0.4021276085452382,66.71312221757945,10.663748084309093,-33.64235045708598,2677.071928710937,-69.5214429444281,85.24534569225389,2.0490172235171538,117.92959201438548,,-39.68676278484681,1.3917124324772372,-5.47623025174442,-13.938643525970928,-1.1366928146536606,50.000000000000014,0.915765004994033,3.184689342053258,-94.89797858441557,14.321920459030151,-4.864867646971608,18.017513850868927,-44.55659246950382,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,4674a47f-889c-4b7d-ad8f-863c30f89946,63.309324548085996,2.455401785695934,0.7472064952013189,5.209214774789204,-1.6007283392134701,58.44357300908901,2.1630516751643927,0.12482385356518397,-6.387116078125534,-0.4118758047450908,0.4021200655027826,4.505948514910976,-12.147188401355582,-9.926492485270217,,1260.5099838127062,-220.5948491310034,98.50297238181595,0.9258435795175882,-0.17238457934142584,-0.3362993057848013,-36.3212518962297,54.580310288589,12.344920636021516,-0.081616999789325,2.238435138313184,2.2671003793232014,-75.30866332876015,90.7523768301132,-18.375372377491928,2.9925139976457187,0.1499547875956,0.4512724864096313,-0.11261868135525403,0.8852514759205278,,,1.0,0,1.0,36.59306191823698,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
4,05/09/2024,9:08:24 PM,2,1,Morgan Leinstock,leinsmo10,Right,Arkansas,Alex Honnold,honnoal10,Left,Missouri,,1,Top,0,0,0,Dropball,,BallCalled,,,,,,,63.6021988865537,3.3906619288995152,0.38320028521500726,1280.6335594540553,344.50948747464946,5:30,2.430363817179638,0.7690101819656885,6.0000001920000035,-41.39622184830376,-10.577519454728083,3.141969688438546,1.0963515406916553,1.26966571344693,58.98157394776596,-8.103829427259292,1.2600247242001668,0.3995569570276408,,,,,,,,,,,,-3.505268276415447,-13.505041463206755,-0.7134092912038174,49.99999999999999,1.265563079432307,-0.19252090698084665,-95.67670430998544,11.563124537582741,-3.154670140551608,18.7609828072649,-44.328312167709534,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,a76592b3-f2f1-434e-b0de-4e94183ab506,63.62278829488482,2.4222834337601897,0.7712023002026346,3.532218555788929,0.34450829811513334,58.97023715003792,1.102022919625209,1.2681444044573296,-7.983823215847784,1.2272422025389988,0.39954711945182764,3.386787390150548,-12.310125713701723,-14.862263516702276,,1237.7902498476658,-328.4777176339618,96.65452234246821,0.9314351698861909,-0.2564962593780492,-0.25814374527412304,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
5,05/09/2024,9:08:42 PM,2,2,Morgan Leinstock,leinsmo10,Right,Arkansas,Alex Honnold,honnoal10,Left,Missouri,,1,Top,0,1,0,Dropball,,StrikeCalled,,,,,,,62.908571566246316,5.538823966378841,-1.1575650606760968,1207.579092843192,345.81283728992236,5:30,2.549684668949554,0.6998007961608054,6.0000001920000035,-42.400170767940736,-10.777473918732014,3.0466142665833935,2.4797874010617136,0.23216019407469307,58.05116563381121,-6.237686599249059,-0.30842073468999887,0.40473519811078673,,,,,,,,,,,,-3.9434835145741354,-14.466289323448352,-0.9896305279074216,49.99999999999998,0.8878893646286462,2.33377752430066,-94.2711605865883,15.113071273318528,-3.4581864894402403,17.73988835662661,-44.86007353051374,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,b8e3b74c-06c7-49d8-84af-597a7bf2a4bb,62.93209624465153,2.541372371454135,0.7008129090183328,5.685935677603621,-1.175689775424892,58.040795120084496,2.4857751933129895,0.23143473058156325,-6.110488674063034,-0.3239868675967012,0.40472930925507844,3.1613695170116443,-12.493215984176299,1.424213004190013,,1207.2060421386846,30.01395168649447,99.9691075552137,0.9692007850706218,0.024854646676457388,-0.24501445826130133,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
6,05/09/2024,9:09:01 PM,2,3,Morgan Leinstock,leinsmo10,Right,Arkansas,Alex Honnold,honnoal10,Left,Missouri,,1,Top,0,1,1,Changeup,,StrikeCalled,,,,,,,52.82253119169677,4.398709390185467,-0.10397247768566106,1332.242103407118,125.61013193769145,10:15,2.468960990924217,1.4168320914633472,6.0000001920000035,-38.71086595655983,5.9670258553099345,-5.885280038735268,1.9898573406420368,0.8615934321902221,48.87217933515936,-6.354712447292691,-1.7440438008631132,0.48108061612749586,,,,,,,,,,,,6.791500454537867,5.3673395356599345,-1.3828667581398304,50.000000000000036,1.1014873134543695,-0.5531763229803153,-79.30942646249864,10.685943317528544,4.215408462291341,12.552870763277715,-28.842601896337534,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,8eb05959-ef77-4aaf-8e12-7ac4c0b26c6e,52.91958074413571,2.4656374866607114,1.4110075906909842,4.454836117549433,-0.0010711422712732619,48.93525123301536,1.9929976466454529,0.8657883731427093,-6.286944259287644,-1.654426618343524,0.48095152534227925,-6.534619488270267,4.380055132024575,57.29525708506168,,719.8236921474017,1121.03651783245,54.03099709178248,-0.3146045287460156,0.8414660630867886,0.4392708221197012,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
7,05/09/2024,9:09:20 PM,2,4,Morgan Leinstock,leinsmo10,Right,Arkansas,Alex Honnold,honnoal10,Left,Missouri,,1,Top,0,1,2,Changeup,,Foul,,,,,,,52.546945151935915,5.243152631125499,0.708767449720094,1317.778472156059,124.35970538322648,10:15,2.3798695147877176,1.322757608147506,6.0000001920000035,-39.290477063436626,5.970250134810499,-6.069227553016549,2.382745205753666,1.2587348774597173,48.48403343649816,-5.674296220844292,-0.9828627671715037,0.48420836307393716,,,,,,,,,,,,7.291449886009057,5.07404342405271,-1.1043500123685523,49.99999999999997,0.8154835389156978,-1.6889934234729185,-78.78848029727789,11.854909525000744,4.467395663899953,12.369564963375627,-29.06523584587564,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,25ac011f-7c28-4162-a65b-f60ca0f78b5b,52.646228934964086,2.3765060932918822,1.3167822090483163,5.299595958189383,0.8141507279511188,48.54828616568322,2.385915757646913,1.2630181500202409,-5.605592629565669,-0.8913867894430159,0.48407774190648434,-6.734396625770129,4.369941496998606,57.61887351049451,,705.7344587706301,1112.8697027872056,53.554863255275045,-0.3022564628144107,0.8445043884852697,0.4421010840475757,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
8,05/09/2024,9:09:42 PM,2,5,Morgan Leinstock,leinsmo10,Right,Arkansas,Alex Honnold,honnoal10,Left,Missouri,,1,Top,0,1,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,52.46464887097441,4.451554120780774,-0.8733769503224987,1308.6647158022283,130.14490211320228,10:15,2.367399131733692,1.4651521815208017,6.0000001920000035,-38.97515812334853,6.345768020295679,-5.56437394713723,1.8997211656211126,0.45709919086088363,48.53848079377016,-6.373605522433599,-2.4234218641878083,0.4845302662857939,,,,,,,,,,,,6.146153172844084,5.781193196368998,-1.6072445346012887,49.99999999999997,0.9854498337961073,0.5464778705729858,-78.7651229173726,10.715330978158669,3.7608145454010993,12.425702497091613,-28.636553065616752,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,2cef79ff-a076-415b-9b4e-40ba0d08a6e4,52.56285258836276,2.36417633903691,1.4595437578000303,4.506826244449388,-0.7729267877317584,48.60336750866588,1.902881036159529,0.4612254060378496,-6.305271740968444,-2.3350081310142317,0.4843966234322839,-6.1989537748756645,4.728033213974525,56.944815379831454,,713.806645376734,1096.8515904176556,54.5446543150024,-0.35166187324123427,0.8381456129848137,0.41694826818536734,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
9,05/09/2024,9:10:12 PM,3,1,Morgan Leinstock,leinsmo10,Right,Arkansas,Maddie Gallagher,gallama13,Right,Missouri,,1,Top,1,0,0,Riseball,,BallCalled,,,,,,,63.971941797927414,6.54984914841103,-1.0966127105117238,1230.0378970191591,343.05901193850536,5:30,2.479591521958345,0.7308444142119586,6.0000001920000035,-41.26889581986686,-10.610235831285149,3.6291448534160726,3.14119236950331,0.3497499489300488,58.85850495007484,-4.905637776713863,-0.08567672562839584,0.398518151269311,,,,,,,,,,,,-4.592615903938286,-14.600939087241073,-1.012698808360485,49.99999999999999,0.5984631477510834,2.3503066190620343,-95.65489883531454,16.890006231190803,-4.153713864638711,18.03318957698801,-45.37962226875172,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,78d01f21-da2f-4804-93ce-1d7ea1570b20,64.00151658818552,2.4714511580573597,0.7326224516771483,6.693461159094354,-1.1285046268389922,58.85371884696597,3.1470553065844618,0.3484800562590546,-4.780283861707458,-0.11297940099719382,0.39850945003013316,3.8311708665431246,-12.250445457203282,-6.3781478065964565,,1222.4244055104555,-136.64479834858312,99.38103602115397,0.9506843349817716,-0.11108990924566182,-0.2895830231281826,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
10,05/09/2024,9:11:43 PM,3,2,Morgan Leinstock,leinsmo10,Right,Arkansas,Maddie Gallagher,gallama13,Right,Missouri,,1,Top,1,1,0,Changeup,,StrikeCalled,,,,,,,51.96604133328821,3.8909675155069308,-0.8581231029243364,1275.8779862015338,125.71891792385824,10:15,2.4531729118119703,1.3688335332738997,6.0000001920000035,-40.12195742491373,5.999741975957669,-5.887990889402383,1.5386433323443425,0.34332125854626794,48.20904433951654,-7.24250304154996,-2.4981232046067503,0.48879209415599273,,,,,,,,,,,,6.527666596819948,5.582184192398888,-1.5043352129537577,50.00000000000005,1.1866407791817166,0.4829967334404262,-78.06905967606887,9.987282771265575,3.9248678366528265,12.186878618847262,-28.817668730750484,Arkansas,Missouri,,Softball,,a0d7e587-4fe3-49b3-bfec-f10645b079cb,3c1e94c2-05e4-4414-a140-fe187b8976a7,52.06048677796472,2.449622633433644,1.3629627400825275,3.951117143893496,-0.7545262178472871,48.26907689862012,1.541948635220435,0.3475087624310481,-7.171158833776597,-2.408022571645367,0.48866090692355046,-6.542218728673715,4.339587425152403,56.033070190439496,,712.8512709819632,1058.1624171804067,55.871429610931735,-0.3261826095589777,0.8293601963701116,0.45361500184432335,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
