PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/10/2024,5:04:53 PM,1,1,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,0,0,Screwball,,StrikeCalled,,,,,,,71.45310366178178,5.329888175300721,-1.4786589109460224,1671.7482156192552,64.42417898858152,8:15,1.5945354004219874,1.5537692581768074,6.0000001920000035,-24.223612668993038,0.2788935834070436,-1.8554610319435385,2.9083609903482226,0.47740120768651495,65.61472351166076,-1.4047382366572785,-1.9954386238906274,0.3562679680209623,,,,,,,,,,,,1.6301809744741356,-1.5656170231139497,-1.8680416664362114,50.00000000000001,0.1570416756904954,2.467854359808267,-107.10059888436078,13.869324386592746,1.8449916121428682,22.910752407019135,-33.94596958795261,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,362967ef-2f95-47d2-86e6-6bd9ddee6b7b,71.56008337138671,1.5911129265240196,1.5557435992557724,5.3890797956189935,-1.5139166120743268,65.69207375405779,2.9111687719675468,0.47602514675616087,-1.3433688684014724,-2.0250343008810723,0.3561925229984803,-1.6318029037177357,-0.7565870368383941,-79.01292652595217,,318.6143348772798,-1641.1054207566535,19.058751305994814,0.08227760792962355,-0.9816702093196188,0.1719127551048934,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
2,05/10/2024,5:05:11 PM,1,2,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,0,1,Riseball,,BallCalled,,,,,,,70.69921612273025,6.8815350036815595,-0.8347560160787184,1803.8952414772727,92.22970601005814,9:00,1.5858428241007274,1.2354508837407794,6.0000001920000035,-23.74690215919591,1.4223888377568024,-2.4016589575054175,3.916898926341863,0.5150324867054943,64.69383965006845,0.2943131956524745,-1.504102245463741,0.36108297616035817,,,,,,,,,,,,2.4903098018517147,-0.8022758970651052,-1.3996596075069303,50.0,-0.19936757063928262,1.1611249205411809,-105.69746951361032,16.504202228997112,2.7438559591072953,22.387949679254017,-33.05800767803072,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,835199b0-99ad-4d10-a70f-7f7b8513d5b7,70.81295214516176,1.5827218039685775,1.2372062355709335,6.935526630193181,-0.8663395206248312,64.77785408977375,3.9195642464634504,0.5137969228870343,0.3521914169344918,-1.5304316481520792,0.36100071414725904,-2.2012931945066203,0.39107243301756583,-76.46045200412887,,422.3215823102459,-1753.7623907871098,23.411646785230833,-0.009108509412927448,-0.9722085576049818,0.23393921342074214,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
3,05/10/2024,5:05:29 PM,1,3,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,1,1,Screwball,,StrikeCalled,,,,,,,71.12903939099493,4.5268684379748905,-3.2451700059177613,1711.9232482910156,74.0386063076233,8:30,1.7877930918756488,2.5590370315136544,6.0000001920000035,-23.622177905524158,1.121559611786573,-2.209978401761067,2.6509753192314554,0.3502258602478494,65.4039753031782,-2.0382809872470107,-3.8590815925586113,0.3580174314406542,,,,,,,,,,,,1.4076950232507472,-0.3159321528644154,-3.267534351504553,49.99999999999997,0.5368866242929727,5.694097479079021,-106.62681410012144,12.213731445799743,1.5777262174336502,22.85535030765308,-32.52814222131626,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,a3f3e75c-495d-4afb-9d75-a63c3f1bc02a,71.23742430016173,1.7845708434616683,2.5608686635304636,4.582275202875997,-3.2776590155505607,65.4827170585906,2.653663124379799,0.34894677548411895,-1.980527214343401,-3.886049937317554,0.3579393524558505,-2.0035412907973336,0.08949512863567848,-79.00019952678328,,326.6444823480337,-1680.4715380484274,19.080556483716045,0.05246954371256761,-0.9816278502707491,0.18344947684695856,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
4,05/10/2024,5:05:48 PM,1,4,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,1,2,Screwball,,Foul,,,,,,,70.38732671772104,3.903183492891522,-2.0006297902385533,1660.7427411760605,92.61943656651628,9:00,1.8032878796644263,2.33783881968618,6.0000001920000035,-23.467104930985027,1.705807987772772,-2.7974397676969747,2.285524990889673,0.8573633292542668,64.80644076939309,-2.626954987361513,-2.7792925771528965,0.3611089555822445,,,,,,,,,,,,2.534744369356316,0.5899013126016219,-2.7603523014134588,49.999999999999986,0.6958517546406126,3.2509644250200322,-105.6991896158107,10.918080342887428,2.79243623713532,22.41605555117443,-31.524176635671374,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,ffbd5fbd-9636-4cff-8103-f3b10f8f302e,70.49483178226012,1.8001631977989065,2.3394044634759554,3.9571349384321435,-2.0285046904791932,64.88422244968314,2.288097182286267,0.8563043987485174,-2.57089837650396,-2.801973958293448,0.36102923504452566,-2.620207702505142,0.672580710678634,-77.38974467632957,,362.56987537102435,-1620.681812646275,21.831790462276494,-0.009977536141596294,-0.9758777036704576,0.21808978942494725,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
5,05/10/2024,5:06:09 PM,1,5,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,1,2,Dropball,,BallCalled,,,,,,,67.55130950640708,2.3497283306636305,0.5415777630192032,1221.2682800292969,5.257349448238055,6:15,1.908091296453453,1.1220876685742212,6.0000001920000035,-32.87825352034755,-5.642022608620817,-0.9970757037106971,0.6335401941329648,1.376534504613579,62.58303977089877,-6.787622850498782,0.2634762642639775,0.3756168153281133,,,,,,,,,,,,1.3505706054650473,-7.386928028798935,-0.9906868275708475,50.00000000000002,1.0599508279544065,-1.1121716337626113,-101.6672403963397,9.156145591168453,1.3752241784518604,20.88131798466356,-39.695820005540604,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,0089272d-bd4d-4780-be23-c0b56cdd3000,67.61353357837952,1.902464198840491,1.1244128016090142,2.4500511222805583,0.4996507023257286,62.61585329427001,0.6379658190346769,1.3748493792144092,-6.693541114522108,0.22747075679477177,0.3755682099818284,-0.7316114928549664,-7.012397229092504,-56.334335662467915,,677.004886840185,-1016.4450772177637,55.434575507352434,0.5520137235282481,-0.8322864794239807,0.05079434224906006,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
6,05/10/2024,5:06:26 PM,1,6,Laurin Krings,kringla10,Right,Missouri,Sierra Daniel,daniesi10,Left,Louisiana state,Windup,1,Top,0,2,2,Curveball,,InPlay,,GroundBall,Out,1,0,,60.75545566226681,4.204363490252454,-3.32624607768942,,,,2.2368228773590606,1.9561861865480688,6.0000001920000035,,,,2.1576072948922227,-0.11915553056414059,56.0544776918513,-4.822167223434196,-3.3262460776894165,,58.50597777482814,-5.853844935042089,40.40515264690451,1750.1619756789437,,,,21.443704046755744,,33.63704116067228,0.16795072758259155,,,,,,,,,,,,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,acb9a4c1-aa6a-4cb0-9c59-e475fedeb794,60.84863334748933,2.232657461712227,1.9561861865480679,4.275947608245798,-3.3262460776894187,56.11602605733427,2.161064789766491,-0.11915553056414134,-4.7481866947797435,-3.326246077689418,0.4187669064750524,,,,,,,,,,,37.725138659953195,44.31881223798281,-5.967095632752572,0.999908115778957,7.235989277755577,2.3161418401510763,11.878309031046074,17.853241100926684,-0.22891440711462369,-0.5395776131055801,0.020634212555271036,-0.33960575758591477,0.31455986267275154,-0.8864084962418832,,,,0,1.0,29.64408199169914,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
7,05/10/2024,5:06:59 PM,2,1,Laurin Krings,kringla10,Right,Missouri,Ciara Briggs,briggci10,Left,Louisiana state,Windup,1,Top,1,0,0,Screwball,,Foul,,,,,,,72.58776995047322,3.250154874449631,-3.5334918062199447,1627.9328727722166,58.46590981072286,8:00,2.062877816021234,2.5115873886583007,6.0000001920000035,-23.224437071696354,0.4785751192839598,-2.1997037816433327,2.1591332059769313,0.12331156843998319,66.90767965338853,-3.205083162266427,-4.144175778725926,0.3504074187461644,,,,,,,,,,,,1.2917602268354387,-0.6059398308001395,-3.2852030148352025,50.00000000000007,1.1043354960973644,6.3699338481598105,-108.94813531467227,9.973555987303568,1.5113633391104555,23.87839212632783,-32.88300100512028,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,bcd76c22-8822-447f-8e6f-af707e5301a8,72.69170627399029,2.0596484103922745,2.5132853500522816,3.3066280811837574,-3.5639433862697656,66.98436314721063,2.1618567417929264,0.12209869398549533,-3.1461503377544866,-4.1699570837808775,0.3503349855988962,-2.0060186003590488,-0.5297158033196188,-78.75586455780315,,317.4305003302017,-1596.6851022391734,19.498991981754592,0.10198085534053815,-0.9808052462999711,0.16619558951568247,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
8,05/10/2024,5:07:19 PM,2,2,Laurin Krings,kringla10,Right,Missouri,Ciara Briggs,briggci10,Left,Louisiana state,Windup,1,Top,1,0,1,Riseball,,Foul,,,,,,,71.98425985112833,4.395043933527793,-3.4844803377506715,1617.3790236253005,79.49179144451882,8:45,1.9078244723040114,2.3510090501004735,6.0000001920000035,-22.735218640846245,1.42732716938648,-1.954418812734561,2.7628055479603977,0.0138338215991701,66.19456367663435,-1.9227175241103067,-4.027155324302974,0.35378781222289124,,,,,,,,,,,,1.0256937813646425,0.08564541655510215,-3.1159554114484793,50.0,0.6951585694120538,6.255567780387312,-107.90180255632556,11.968835424754738,1.1772358824893645,23.405919175833105,-32.07575040609733,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,beff8a56-56d9-46dd-a3ba-c3264f04b61e,72.09513381487469,1.9048171488247239,2.352783504765226,4.446615670795277,-3.515874530332618,66.27562073799511,2.7653008794251797,0.012605735185053016,-1.8687137953904986,-4.053197408921098,0.35370964445139763,-1.7547820260984122,0.4344764348367306,-80.14093157264912,,276.93619426006865,-1593.4934108341583,17.122529117468428,0.031227450641003962,-0.9852319014638861,0.16835363573240428,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
9,05/10/2024,5:07:47 PM,2,3,Laurin Krings,kringla10,Right,Missouri,Ciara Briggs,briggci10,Left,Louisiana state,Windup,1,Top,1,0,2,Screwball,,Foul,,,,,,,65.95818820682682,4.336729436060475,0.13777742915755042,1177.5652323404945,14.964028391448602,6:30,1.925171379635081,1.0551696652585676,6.0000001920000035,-34.145004706554374,-5.492750485504118,-1.849606777404981,1.7877065011190958,0.9869026773389433,60.87011897680345,-5.159709434864913,-0.37784552342629874,0.38525733877710006,,,,,,,,,,,,2.1946145423047905,-7.908049878502999,-1.0061942136700621,49.99999999999995,0.6162177390388904,-0.5117218390838467,-99.04225374574709,12.560956928932606,2.124069900458414,19.59453533016882,-39.82789967878737,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,f01917d4-ec54-4550-a49c-7f675d1b5e71,66.02339356711998,1.9191064113423555,1.05731777566649,4.442593680369573,0.09959273955342275,60.90349863225504,1.7922599241063941,0.985418035709127,-5.061669641280826,-0.40980566341503216,0.385208049463715,-1.6076253624245782,-6.909422158577377,-54.9577825267936,,676.1342314883086,-964.1070362915298,57.41798525627696,0.5547083391640609,-0.8187291963225668,0.14826045174237484,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
10,05/10/2024,5:08:12 PM,2,4,Laurin Krings,kringla10,Right,Missouri,Ciara Briggs,briggci10,Left,Louisiana state,Windup,1,Top,1,0,2,Changeup,,BallCalled,,,,,,,61.05847867396211,2.4965203682188473,-1.3813688126914696,928.7132609049479,47.004325152376644,7:30,1.9169539105104605,1.0983326380381047,6.0000001920000035,-37.41084586471395,-4.019246697358042,-5.071078589073304,0.3567226743534801,-0.18533184120323212,56.69836740775995,-7.882000065211761,-2.7946215470359936,0.4159011600089973,,,,,,,,,,,,5.382313456784383,-5.567346050275358,-1.3595350670363626,50.00000000000001,0.9919848072867257,1.5219475318826923,-91.88871074515474,9.12638042305222,4.4706033746601825,17.23347030697222,-36.79834288294447,Missouri,Louisiana State,,Softball,,5f83b505-705c-472e-acb8-434941c6a8af,ffc80671-aac0-4bde-ac47-4b2114ee6458,61.114539705087815,1.9113709723565486,1.0941278373266592,2.5945072002978384,-1.3066845070329578,56.7234943924574,0.36102461131422964,-0.18232080093943606,-7.790797662264052,-2.7298300369645947,0.4158465622577774,-5.543340222997529,-5.572154155392796,48.10834947042647,,620.1242053301512,691.3423832981385,66.77240774250339,0.45534986041077946,0.7444088637482007,0.48837685059490304,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
