PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,05/10/2024,10:02:20 AM,1,1,Robyn Herron,herroro10,Left,Arkansas,Maddie Gallagher,gallama13,Right,Missouri,Windup,5,Top,0,0,2,Riseball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,65.54022091675445,7.482979219359139,1.1770986335879772,1403.0296142578125,286.87268134073054,3:30,1.2574990214995536,-0.29548786203790933,6.0000001920000035,-29.483832532831812,-0.1117185148631279,4.835338736729224,3.491802985259997,0.8411611148459942,59.927039548404586,-0.6927073640104969,2.523842300410683,0.39006692361457784,,,,,,,,,,,,-5.192239622911964,-2.7999427689480854,0.5129549675024581,49.99999999999999,-0.7210498645997611,-1.3042596390331347,-97.8455513919592,17.160777587530713,-4.902292908263592,19.1905137948769,-34.81763705048996,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,3322fcca-ee29-4c48-aa0a-7b1fe39bce89,65.63937157951786,1.252975518839698,-0.2966069617917508,7.561306709518186,1.197269892807188,59.99395786174973,3.4954891330393703,0.8419020008952716,-0.6131370174759022,2.5395302011855923,0.38998821985758897,4.706738261957956,-1.4058488681489771,63.65852543917534,,622.5523050525071,1257.3467007783638,44.37200032886196,0.12878793447734935,0.8961654750555544,-0.4246187810866478,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
2,05/10/2024,10:02:43 AM,2,1,Robyn Herron,herroro10,Left,Arkansas,Abby Hay,hay--ab10,Right,Missouri,Windup,5,Top,1,0,0,Screwball,,StrikeSwinging,,,,,,,65.98628336137662,6.369774776394085,-0.9147844689929326,1354.528396606445,294.1455820737641,3:45,1.336580646739295,-0.675869096231753,6.0000001920000035,-29.828323929324664,-1.021188646689879,4.201751679986557,2.837653367724615,-0.8958908547231974,60.51490098697587,-1.9148071126227375,0.2560725171327499,0.3862971984404857,,,,,,,,,,,,-5.195724049200057,-3.4263406774440166,0.4293289299667991,49.99999999999997,-0.3916672126508583,2.1963878729723247,-98.72353648443186,15.423925395335361,-5.001421670929251,19.325585774598817,-35.47225679521337,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,e6129413-2bc7-462e-9bdf-00cb35990c50,66.07868133171509,1.3319868852675412,-0.6772305165263245,6.450702301609152,-0.8900798762015677,60.577238139738554,2.8415076858705817,-0.8949321743172016,-1.832260607557556,0.2763349769048553,0.38622334084492044,4.0447879222928265,-2.2845653749822423,66.4390399789233,,541.4382435313844,1241.6085557271567,39.972454242219776,0.16350993945534306,0.9166353092617393,-0.36475225772288977,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
3,05/10/2024,10:03:02 AM,2,2,Robyn Herron,herroro10,Left,Arkansas,Abby Hay,hay--ab10,Right,Missouri,Windup,5,Top,1,0,1,Dropball,,BallCalled,,,,,,,65.40985730293966,3.947502605172665,-1.9386489169919903,1493.0087463378907,278.47560252264003,3:15,1.2507337804570273,-0.8469834090006358,6.0000001920000035,-28.932400985555063,0.18627461598242334,4.683513115513323,1.305205695301016,-1.6653722224828489,60.31561914246529,-4.099338170062675,-0.6342034819651178,0.3883804239934725,,,,,,,,,,,,-6.113301514225325,-1.1692262551390602,0.3655214514419016,49.99999999999999,0.07970845585141333,4.011055722134935,-98.1903026114676,11.026269359111698,-5.821703797525694,19.107292083386024,-33.28750504273979,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,08413c15-c880-4cd1-9ac3-f28d69ce5d6c,65.50108795521591,1.2463284433957829,-0.848321754670013,4.023739339322003,-1.9149465192852497,60.37663513280106,1.3087248002082352,-1.6644942843633732,-4.023119069840797,-0.6154216570886494,0.38830230403798255,4.532643928875131,-1.057532677831442,69.25324075592441,,528.8806328279042,1396.194969501393,35.423813432115715,0.05221054176763465,0.935155251384852,-0.35036939811528095,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
4,05/10/2024,10:03:21 AM,2,3,Robyn Herron,herroro10,Left,Arkansas,Abby Hay,hay--ab10,Right,Missouri,Windup,5,Top,1,1,1,Riseball,,StrikeSwinging,,,,1,1,,66.48977558293095,6.450872242288927,-1.734658517795118,1322.6090362548825,283.9439679706434,3:30,1.3141786718704733,-0.6224580617571094,6.0000001920000035,-28.811606298012443,-0.416905979078372,4.840103552534446,2.9525010107033385,-1.3005342803198074,60.94828937646867,-1.5466543817703295,-0.38649635104668545,0.3835218990577155,,,,,,,,,,,,-6.222369345090202,-2.748994281593085,0.1853462755171755,49.999999999999986,-0.4231682091056218,3.7304690089307644,-99.42212814746637,15.529448647506925,-6.07658212687368,19.55631705684035,-34.85863621080189,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,34e6d9dd-c5f2-4c4e-b6b6-138568a6c743,66.58527407361268,1.309827205392311,-0.6234234763824779,6.527741713063706,-1.7170834003420314,61.01380554592063,2.9561320683908843,-1.2998877604655177,-1.4679651677550098,-0.37273979371000293,0.3834464881902555,4.727887772970091,-1.6408830783833082,64.218288013056,,575.2604665384442,1190.9534241191134,43.49436989840622,0.10480963829021779,0.9004576495949499,-0.4221267120278131,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
5,05/10/2024,10:04:03 AM,2,4,Robyn Herron,herroro10,Left,Arkansas,Abby Hay,hay--ab10,Right,Missouri,Windup,5,Top,2,1,2,Screwball,,InPlay,,LineDrive,Single,0,0,,66.02143700308032,5.150010206749039,-0.3911044203394068,1426.2471557617191,286.69302813781087,3:30,1.2840914235301621,-0.9390065429297088,6.0000001920000035,-28.80263030633155,-0.14403988037106785,4.181833152515229,2.102249510087811,-0.8342714433014812,60.705184736222265,-2.8617103846977963,0.7744797955101661,0.3852999346315529,77.45836950629874,14.502865961833624,15.241858874232646,1280.2038960774737,37.612804864857445,103.36961305728083,16.161048948377797,190.03780896243572,,23.38165399471161,2.177873986919614,-4.9896424897192055,-1.985831794455752,0.8103746210227621,49.99999999999997,-0.1569608615465998,1.2943944491064114,-99.01075539236088,13.183965602529682,-4.828089875012962,19.5255145291653,-34.095584926466884,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,b092c20f-a508-4d48-a596-b9045a34b572,66.11488420979853,1.2798342780486271,-0.940396123999079,5.225337160187908,-0.3658844813708953,60.769154691825385,2.105784670044626,-0.8333135300418064,-2.7847841894138186,0.7950482534308492,0.38522400127893913,4.021381590992058,-1.3831088024087383,69.21862015624822,,506.0369565330894,1333.4569914103422,35.48031310623922,0.10191505922996998,0.9349410346050294,-0.3398508239122407,19.71447451414888,72.35236493884983,19.39777793874288,0.8490131485020254,0.8714942930069179,2.0718328571068296,75.41726595006037,174.43223564427842,33.053904690185384,21.29212151863422,0.43630617870102917,0.4543208082244765,-0.18380588250715013,-0.8716696626417751,,,1.0,0,1.0,45.21350537592721,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
6,05/10/2024,10:04:52 AM,3,1,Robyn Herron,herroro10,Left,Arkansas,Stefania Abruscato,abrusst10,Left,Missouri,Windup,5,Top,2,0,0,Curveball,,StrikeCalled,,,,,,,67.01726572924782,4.814543532949983,1.9577114651025338,1275.0936070492387,297.8137163164066,4:00,1.277332666780611,-0.851191927590543,6.0000001920000035,-28.83185365646277,-0.9875614049454171,4.818130103812199,1.8840752850760654,0.770894587674988,61.668501601412714,-3.2035861253764826,3.2985630731481432,0.37978657960798545,,,,,,,,,,,,-4.891033527397376,-2.8683500561075395,1.244400329132376,49.99999999999999,-0.08828169993349408,-2.7137894555507014,-100.53005672523209,12.795914101845474,-4.871458699826405,20.358352577115628,-35.03091997069515,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,de0c11a3-11f5-41bb-aa01-820a6c36d2b7,67.10682241840983,1.2728522942771399,-0.8521468358597297,4.89395653430939,1.9750509423438856,61.72863499296215,1.8877966060789075,0.7715407774078658,-3.123884451019867,3.3121684936997826,0.3797165367636134,4.707513049859565,-2.2532036466596037,62.98873500413981,,579.1037348547384,1136.0028921684714,45.41656641153373,0.21191296818372155,0.890917251790914,-0.40169558670327754,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
7,05/10/2024,10:05:10 AM,3,2,Robyn Herron,herroro10,Left,Arkansas,Stefania Abruscato,abrusst10,Left,Missouri,Windup,5,Top,2,0,1,Curveball,,StrikeSwinging,,,,,,,66.2932281998808,5.6023071568267095,0.9769692669448203,1296.6300209446956,293.35672244927423,3:45,1.2294453946068131,-0.4764191663823565,6.0000001920000035,-29.523595461647535,-1.0328821334623086,5.536222493466088,2.2723394276936864,0.5938663567317902,60.90393926984423,-2.6067199297973174,2.519109265289265,0.38416976671637393,,,,,,,,,,,,-6.076212253249964,-3.1934164813606842,0.6420780674035467,49.99999999999999,-0.32109511589778134,-0.8732896552774625,-99.35079556469643,14.124787869861095,-5.914400308198499,19.794546867685717,-35.28242411841757,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,7bbff78f-805f-43f7-8c4b-659dad3496c8,66.38263406093296,1.2247182704254447,-0.4771247623132014,5.685037156344129,0.9897701784499792,60.962706759105956,2.2761538312264538,0.5943105837238843,-2.524500011483259,2.5284820646675055,0.3840993498375105,5.454257527510658,-2.3262114803886145,59.58542268624065,,656.4230743260396,1118.1941507213282,50.625318226689245,0.20070638491613876,0.8623848998241125,-0.4647679330690212,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
8,05/10/2024,10:05:30 AM,3,3,Robyn Herron,herroro10,Left,Arkansas,Stefania Abruscato,abrusst10,Left,Missouri,Windup,5,Top,2,0,2,Riseball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,66.2600094733819,7.355545306614243,1.8513536616676676,1373.463436351103,282.1531473232412,3:30,1.317458637190853,-0.9089161218850788,6.0000001920000035,-28.284213458577266,0.46883849118914966,4.973777599189848,3.5723811332651865,0.6597825438174127,60.58790685430362,-0.4876024591129559,3.235742390140267,0.3859344054223489,,,,,,,,,,,,-5.109112819946113,-2.097865670498067,1.2766872507233356,49.99999999999999,-0.6206203532897654,-2.463913784180129,-98.93298217102812,16.951463913881042,-4.927855134585506,19.728561786473765,-34.19748858223332,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,9405e93e-cb7c-4880-b7b1-3bd5c6def6c1,66.3623402388127,1.3132256162134355,-0.9098337554080886,7.428662847569897,1.867893934012662,60.658372224962555,3.575830442918689,0.660370397177554,-0.4127191397905812,3.2482322145491285,0.3858539669660705,4.8680127137801525,-0.791362808917083,63.2368738593682,,618.4747014523709,1226.332277425976,45.030299684968696,0.0948002456392697,0.8928758094092318,-0.4402109748728935,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Kennedy Miller,milleke13,Arkansas,2022-11
9,05/10/2024,10:08:02 AM,1,1,Cierra Harrison,harrici10,Right,Missouri,Raigan Kramer,kramera10,Left,Arkansas,Windup,5,Bottom,0,0,0,Riseball,,BallCalled,,,,,,,65.26562166780039,8.04770220637359,-0.9833706318608234,1347.9368228004093,57.77835108334761,8:00,1.0355289769720786,0.9639923287904753,6.0000001920000035,-30.108830593553048,-0.4318846736038928,-2.1532543815388228,3.576002579294998,0.1716301516428835,59.60025529807972,-0.28984894065706457,-1.5832384027733317,0.3920858100643966,,,,,,,,,,,,2.1521989153955423,-3.3523203542390854,-1.1640067275252854,49.99999999999997,-1.078519214150392,1.357010273285955,-97.29227265572302,18.134644927601116,2.011045331988905,18.84037033613559,-35.306505490283776,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,f85b3a64-aabf-4bd2-bcac-1d873c48b8e6,65.36722440709728,1.0310944810819862,0.9662877974452906,8.123922723844817,-1.024442849388571,59.66903730103499,3.579614089234722,0.17002441249265077,-0.2114146406672452,-1.6176128967834034,0.392005024423559,-1.892806279572612,-1.7040009849591797,-73.97138508046812,,372.1887947146115,-1295.5343219498843,27.61173880103444,0.14722467791989055,-0.9611239191895834,0.23359303536929257,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
10,05/10/2024,10:08:23 AM,1,2,Cierra Harrison,harrici10,Right,Missouri,Raigan Kramer,kramera10,Left,Arkansas,Windup,5,Bottom,0,1,0,Screwball,,StrikeCalled,,,,,,,65.51475013610239,6.044484444844997,-1.4617897213552427,,,,1.1727250990108746,1.312258262984557,6.0000001920000035,,,,2.618397533509429,0.40103225003017906,60.0890272284777,-1.7462759483499695,-1.4617897213552316,,,,,,,,,,,,,,,,,,,,,,,,Arkansas,Missouri,,Softball,,b07327ee-eebc-4cab-90ba-1772f35de3e4,b7f8badc-1b50-47ca-b556-b2bfc7a3f939,65.61889202374468,1.1691945700938828,1.312258262984559,6.105423527019603,-1.4617897213552407,60.16273884681701,2.6214097752574745,0.40103225003017756,-1.6815851012264622,-1.4617897213552422,0.38892521255482737,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.125001188,Julia Crenshaw,crensju10,Missouri,2022-11
