PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,10/01/2024,8:42:06 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Curveball,,,,,,,,,63.15451861820244,9.3017775676166,0.6878237860696564,1091.967549641927,34.41544374522186,7:15,1.3810695695224906,0.6345606600528755,6.000000191999998,-35.35644838534405,-3.6308470073375396,-2.460972889528468,4.276842145240335,0.857666990972512,57.65447740622349,-0.46442496854581716,0.0022872876118611545,0.40539319475680824,,,,,,,,,,,,3.0949635997179796,-7.395298698131492,-0.4551954393135092,49.999999999999964,-1.0837325708542493,-1.4738124936397008,-93.75787829444755,20.360287507996,2.698466342421399,16.88470499508654,-38.621933054121904,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,c4130c0e-011b-4ef8-b88c-9a2ab7544ed0,63.2344058379514,1.3753640806167522,0.6365988374865376,9.401292016743792,0.6508846746822597,57.701770954054375,4.281464160427882,0.856181132875717,-0.36529549523228855,-0.029299925219439867,0.4053325435857741,-2.2272907240074185,-5.023458311869313,-60.40692535015846,,539.2537154011048,-949.5254393101317,49.38367587735866,0.40739615757889464,-0.8695546306495058,0.27911129519593797,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
2,10/01/2024,8:44:24 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Riseball,,,,,,,,,62.93811627817305,7.980549068259945,-0.4383599513835091,1220.1331689453123,54.15134845473669,7:45,1.1992531505232837,0.6088433056766893,6.000000191999998,-32.66429106651175,-0.9056815796013673,-2.468963045466013,3.4776048443296217,0.13021418633953352,57.60428379018787,-1.072628839906342,-1.126491226196739,0.4056040305392635,77.43514953168703,8.329922052045793,-38.20525559921577,1185.3197631835938,,,,103.63576599659939,,-41.48189955931723,1.0164466643937957,2.7208171145611426,-3.8141506541452244,-0.6833406418299567,49.99999999999998,-0.9335828992629335,0.3688268690414285,-93.80510272056068,17.766943475986743,2.3700210815562777,17.15323032355088,-35.49644027892017,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,62ece3e0-ee7c-437c-8b49-7124002485ea,63.02888973467903,1.1944539130645802,0.6110942784759867,8.063276008844534,-0.47865501855561055,57.66328583477439,3.481481446298304,0.1286331858018507,-0.9882797665613275,-1.160453068044729,0.40552805273900827,-2.213925730536402,-2.245779656913944,-71.29297630871537,,391.3322044340125,-1155.67471882591,32.07290928516283,0.18783376238531593,-0.9471709713660843,0.25997236143406677,-47.38687903027396,60.20661720005048,11.218258514203326,-0.16892402426413325,2.454501019778007,3.508688955083351,-68.6466121659362,77.64029000358927,3.199054836542897,-15.846691416694503,-0.17916176618145785,-0.33792339260908977,-0.18534589520851918,0.9227430194029731,,,1.0,0,1.0,44.861450016135194,high,high,,,37.083001186656,,,,2022-11
3,10/01/2024,8:44:52 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Curveball,,,,,,,,,63.43735563651988,7.2478588303903235,-2.2605729973201716,1339.6677602132158,77.86393140318931,8:30,1.0740926911008946,0.19150761640298924,6.000000191999998,-30.205626801986764,1.0289793149248716,-2.985133098022299,3.0964661549002437,-1.4651794304253714,58.125852428330894,-1.1310729369385926,-3.091392103008117,0.40224396713920685,61.618592629601686,40.68333506867635,0.36988925649092663,,2.108637041250032,109.97978745995461,46.89127593076464,184.53407057410192,,0.8041407367935576,3.3869781054042574,2.683143796474255,-1.3452563186252886,-0.6720301078830463,49.99999999999999,-0.867183367648626,3.3121141258022244,-94.6713803598916,16.35026534907324,2.376615841415672,17.689738321398192,-33.36562101121044,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,bca6cc35-bd92-431c-8a6c-cf34f2d9c5a4,63.535910638389346,1.0699883163999808,0.19349022982567274,7.318084870447547,-2.295831118956495,58.19354234078853,3.0998670514716715,-1.4665578228113811,-1.057474949381832,-3.120725843538377,0.40215946750486037,-2.7616722871654367,-0.2583567767470801,-72.93059210953558,,393.232601267814,-1280.6552342667571,29.352994298021233,0.06170998908952219,-0.9559498797395359,0.28696986718562933,0.30165645855167655,46.72588220081229,40.16779672311677,1.428436288078008,1.8088265080936021,3.0420725172639655,2.589832848635918,184.5158962487074,,,,,,,,,1.0,0,,32.13674218325683,high,high,,,37.083001186656,,,,2022-11
4,10/01/2024,8:45:18 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Changeup,,,,,,,,,49.78021483316345,12.035642242436374,-2.152141548556378,804.9819776746959,25.261379773099172,6:45,0.9639000823883651,0.6560050326904849,6.000000191999998,-57.21259517359296,-5.154803440449037,-2.9257443881872325,3.8058572151747283,-0.9281347126081416,45.160579950624324,-3.70389467730831,-2.9655686216513586,0.5192953015575015,,,,,,,,,,,,2.6748329290669486,-10.130236941578998,-1.1125433151292106,49.99999999999997,-2.3567377030379824,2.427510039483283,-73.19591648895577,21.93634937733284,1.421293891431312,10.296730386994561,-37.55683208705155,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,b296156b-866a-4b81-ac8e-4ec3973169a1,49.83374954783234,0.9542440461727021,0.6588188939825631,12.198545557465593,-2.2020585577853593,45.16666328550165,3.8128737999951197,-0.9301173288024173,-3.553922781527232,-3.008007685507757,0.5192654298859753,-2.609886181406274,-7.399607126678962,-43.33474950936267,,585.5090146465556,-552.4266269367221,72.73566749132459,0.6577998505797314,-0.6862596210321185,0.31039827499220424,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
5,10/01/2024,8:45:48 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Riseball,,,,,,,,,63.19246172962096,8.814284417447343,-0.504581554015819,1120.2417320838342,44.88299590299646,7:30,1.1094853890014629,0.41649506641463885,6.000000191999998,-32.80612389167695,-1.1727761612820196,-1.667596618651088,3.906401786576979,-0.03657892436211974,57.71208598504115,-0.2594360629728854,-0.9693240846338423,0.40480335206375656,,,,,,,,,,,,1.7665275395103022,-4.409624959480676,-0.5138153871516661,49.99999999999998,-1.2169186144453805,0.5914914557833254,-93.97541093925685,19.218124991260222,1.5448374242606082,17.175639136870664,-36.03028930601467,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,e05d466a-50bd-4a47-a868-21ae3f709e2d,63.28467706055062,1.1047404835442272,0.41890860829233345,8.896296854808599,-0.5480568171956504,57.77292498366387,3.910351575701288,-0.03833545783305879,-0.17439612539725843,-1.0067164348389137,0.40472731704383225,-1.39285252489234,-2.497578734322354,-72.33577919201078,,339.92400865578986,-1067.4236303556183,30.343808744160526,0.2150008424208604,-0.952851156839189,0.21412452140878127,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
6,10/01/2024,8:46:10 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Riseball,,,,,,,,,63.75495068395774,7.367350198142117,-0.6173231561265612,1125.253909640842,75.64629040129769,8:30,1.0603645289649237,0.2851039989946547,6.000000191999998,-30.255744977588645,0.6212101463683339,-2.4160714263934624,3.1509024238734415,-0.30053072578582746,58.408967722950166,-1.0274205562998955,-1.2908206985575783,0.3999343949740393,77.17451215514222,18.49800953029689,-56.71392796450854,1396.1004882812501,-95.78552056335147,54.084508408977776,19.042000755420375,179.97133990592746,,-64.54868658556279,2.051345712433126,2.5964054316429754,-1.8392265850530896,-0.4004866379614227,50.0,-0.9078466249820829,0.679301260590349,-95.1703796985172,16.64058729518571,2.326312440864238,17.750269541183314,-33.821949268473624,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,e664fca7-cc35-4089-a557-142a010f49ea,63.85246476301763,1.0563015712868002,0.28706768454704656,7.437736690779429,-0.6526262203566883,58.47593011324038,3.154282566774572,-0.3019122890594815,-0.9536928394741649,-1.3205233453776917,0.3998515751694468,-2.1924702655430144,-0.6389457518477255,-74.42482793493497,,302.1333952649554,-1083.933472417782,26.850241770001066,0.06656370094713378,-0.9632790103024405,0.26012078353520995,-61.18022164731084,40.166608047382965,24.48528953347342,0.0023839244211325107,3.5637455327803034,3.2768829541894657,-162.50526201024064,77.34159945668264,-6.073555950851725,-28.583599970757046,-0.12973793885299756,0.1596606880678324,-0.23315361544953916,0.9592433769844412,,,1.0,0,1.0,42.66024908637098,high,high,,,37.083001186656,,,,2022-11
7,10/01/2024,8:46:36 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Changeup,,,,,,,,,50.74177605814128,9.345598508396533,-1.566215317215481,786.0525537109374,36.548165264498934,7:15,1.0479366510169146,0.9983607710961121,6.000000191999998,-51.69242426942863,-2.4341033966629553,-3.0985198240695295,2.612164203249105,-0.23505329606448727,46.44818409632872,-4.961638005044919,-2.4289925805294823,0.5051394931706514,,,,,,,,,,,,3.0640700761265074,-6.07972018213073,-1.3210150390735584,50.000000000000014,-1.5879479842585797,1.7082091088749112,-75.33097324577895,18.266547707261193,1.7208335500109202,11.082636269661851,-35.58852321230655,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,558be640-865b-448d-aa50-e863a6c59906,50.80563358809975,1.040075675470573,1.001361816402137,9.48030032809187,-1.61958545662966,46.470325123951945,2.618194045715571,-0.23717088239455686,-4.831435208469216,-2.474713156815762,0.5050778586315057,-2.760963374697961,-4.531756540278527,-58.18932183883539,,414.33944125472226,-667.983117014353,52.71141723268178,0.4234606194346031,-0.8497944747597586,0.31389561076231776,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
8,10/01/2024,8:47:01 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Riseball,,,,,,,,,63.95841862771809,9.314221755222782,-0.7529269691626473,1098.6432110330334,88.20852488470608,9:00,1.01938384961779,0.6235272678624018,6.000000191999998,-29.673778286265502,1.3315909919293567,-3.0656979387370114,4.396750982378558,-0.10066780408664856,58.28198240651697,1.1209536257306765,-1.6076132046185136,0.40076517557120905,,,,,,,,,,,,3.3031836267908656,-1.7221389713973032,-0.7631073720683111,49.999999999999986,-1.3913809463012898,0.810474865441552,-95.01147657890942,19.825249900800117,2.947425227573107,17.792643605655478,-33.71071131092341,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,8d898035-cfb1-4f7a-9dd0-1a3c7c318de6,64.06486058850676,1.0154407221835862,0.6251320289392928,9.381029714745308,-0.7814794931480685,58.356180092471035,4.39999782377812,-0.10175373320556177,1.1920488946340515,-1.6310246788356337,0.4006757610967261,-2.8846623494595214,0.07210936399260738,-69.50529315714383,,384.65788059358135,-1029.1040861089944,35.01208369839148,0.01094549330593658,-0.936704542270231,0.34994970591015895,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
9,10/01/2024,8:47:22 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Curveball,,,,,,,,,63.989311217785094,7.254502358462377,-4.05018532655049,,,,1.219182336121933,0.4152544565427375,6.000000191999998,,,,3.306114810141239,-2.110173405925028,58.616826527078196,-0.9331550864013896,-4.050185326550506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,6b6c058e-390d-4ce3-a74f-2e6691e88bba,64.09101298388441,1.215533868310582,0.41525445654273735,7.317221913966118,-4.05018532655049,58.68777950643751,3.3091851423019234,-2.1101734059250234,-0.8665484469112783,-4.050185326550493,0.39928278209922885,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.083001186656,,,,2022-11
10,10/01/2024,8:47:48 AM,,,Cierra Harrison,,Right,Mizzou24-25,,,,,,,,,,,Riseball,,,,,,,,,63.68719283873289,10.132795428898397,-0.949733764868984,973.6481399536134,85.52234295676435,8:45,0.9383215020931033,0.48248388172209444,6.000000191999998,-30.207984282049058,1.2180941377147398,-2.2574282050747625,4.796071840752069,-0.29689378773983405,57.90833618320056,1.8145562726665647,-1.5790414740198926,0.40347498803424164,,,,,,,,,,,,2.294792643426362,-2.1466635101789495,-0.6743971902897218,50.000000000000014,-1.6678078596692878,1.243981193865735,-94.37183609154837,21.156609118733396,2.020224188989435,17.54987219890492,-34.06386806755538,,,,,,b86c18f7-c92b-4f3e-9d0c-34ff3c2644bd,0ff2bec8-ab57-4cc4-a2a8-9f9a70884c05,63.796114300449105,0.9343359701276306,0.4843390456928513,10.199712499506523,-0.9825294111888644,57.98399623847636,4.7993674147130845,-0.2981659774453339,1.886140734216218,-1.6062775816276533,0.40338304319640816,-2.049905285730775,-0.05286965424303458,-72.17366623352355,,298.06570042418434,-926.902119247643,30.613287099627673,0.023899895402216872,-0.9519887947321529,0.30519850868604537,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
