PitchNo,Date,Time,Pitcher,PitcherId,TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,VertBreak,InducedVertBreak,HorzBreak
1,10/1/2024,9:29:06 AM,Taylor Pannell,,Curveball,60.79733478,5.539599329,0.170262355,770.2322165,257.4610728,2:30,2.011524278,-1.300612558,-31.50696524,2.203415511,3.285804872
2,10/1/2024,9:29:32 AM,Taylor Pannell,,Changeup,49.97494948,7.324470007,0.856289133,689.9939697,345.4104328,5:30,1.567497019,-1.086014595,-57.54748844,-7.267177731,2.475191067
3,10/1/2024,9:29:48 AM,Taylor Pannell,,Changeup,50.12539484,6.363957574,2.496519451,,,,2.088722756,-1.493940978,,,
4,10/1/2024,9:30:10 AM,Taylor Pannell,,Curveball,60.8276664,2.5197493,-2.474172891,761.2809987,265.3685589,2:45,2.17027849,-1.332706644,-32.37927102,1.092884697,2.164799924
5,10/1/2024,9:30:35 AM,Taylor Pannell,,Curveball,62.10510293,6.186010668,-0.876875188,881.8713558,245.3667995,2:15,1.902976373,-1.159430174,-29.9842078,2.398867701,2.302721173
6,10/1/2024,9:31:06 AM,Taylor Pannell,,Changeup,51.30043414,6.364250908,-0.215004109,,,,1.936110428,-1.159819019,,,
7,10/1/2024,9:31:23 AM,Taylor Pannell,,Curveball,62.03444907,7.399229313,-0.622645787,874.9335533,267.2856306,3:00,1.716459516,-0.980240797,-31.31740026,1.298092875,1.449116665
8,10/1/2024,9:31:38 AM,Taylor Pannell,,Curveball,61.48250691,5.606690329,2.791247893,,,,1.729552714,-1.253787747,,,
9,10/1/2024,9:32:05 AM,Taylor Pannell,,Changeup,49.72065275,5.532477659,1.049121428,536.1922201,274.6272541,3:15,1.852106368,-1.003504312,-48.6843402,1.771264759,5.815101881
10,10/1/2024,9:32:20 AM,Taylor Pannell,,Changeup,48.59818513,8.443401956,1.121524061,899.8455234,301.0955197,4:00,1.959824718,-1.075556098,-55.60149879,-2.116144593,7.452703941
11,10/1/2024,9:32:41 AM,Taylor Pannell,,Curveball,62.12961253,5.040328094,1.661575035,754.3874105,325.3509392,4:45,2.167180234,-0.720382216,-31.91067711,0.338758903,0.737632135
12,10/1/2024,9:32:57 AM,Taylor Pannell,,Curveball,61.12829141,4.209174125,3.928317325,,,,1.947793309,-0.891925242,,,
13,10/1/2024,9:33:12 AM,Taylor Pannell,,Curveball,63.02792625,6.750236479,1.449309169,,,,1.976283037,-1.343583427,,,
14,10/1/2024,9:33:27 AM,Taylor Pannell,,Changeup,51.23582372,4.485388922,4.605277421,,,,2.160533791,-1.263647574,,,
15,10/1/2024,9:33:44 AM,Taylor Pannell,,Curveball,62.06633646,5.031791011,-0.096332911,950.9021667,242.2616371,2:00,1.896095257,-1.449993218,-30.19333079,2.092253439,1.364664128
16,10/1/2024,9:34:18 AM,Taylor Pannell,,Changeup,50.46737221,5.868353815,2.207483101,,,,2.167256281,-1.106338433,,,
17,10/1/2024,9:34:46 AM,Taylor Pannell,,Curveball,62.83604604,7.107436975,2.821928963,,,,2.07229401,-1.530846962,,,
18,10/1/2024,9:35:09 AM,Taylor Pannell,,Changeup,46.69926036,10.32616108,1.857934462,657.8038396,296.1895114,3:45,2.022439915,-0.514507157,-60.18198203,-1.560083884,8.320770911
19,10/1/2024,9:35:15 AM,Taylor Pannell,,,,,,,,,,,,,
20,10/1/2024,9:35:30 AM,Taylor Pannell,,,61.75876145,3.10227094,1.633064929,782.1146157,216.5783961,1:15,2.024831934,-1.050379075,-27.31064821,5.175101991,2.764814331
21,10/1/2024,9:35:48 AM,Taylor Pannell,,Curveball,62.1606763,5.653327383,-0.362474386,710.9184799,255.0405673,2:30,1.815879084,-1.471552765,-29.64645719,2.616424701,4.673293798
22,10/1/2024,9:36:17 AM,Taylor Pannell,,Curveball,62.40577926,4.30230012,-0.386606198,,,,2.124977141,-1.637592443,,,
23,10/1/2024,9:36:32 AM,Taylor Pannell,,Curveball,63.57634975,4.283885101,-0.233477504,,,,2.00218678,-1.480303973,,,
24,10/1/2024,9:36:52 AM,Taylor Pannell,,Curveball,62.2947971,4.843357627,-0.071324704,826.3778076,166.0658496,11:30,1.815808026,-1.316083432,-28.90384583,3.129725038,-0.619132417
25,10/1/2024,9:37:22 AM,Taylor Pannell,,Curveball,62.89832868,7.631947523,0.071732878,,,,1.884604791,-1.145224292,,,
26,10/1/2024,9:37:40 AM,Taylor Pannell,,Changeup,51.05492653,5.685592652,0.764983432,,,,2.273054816,-1.203229545,,,
27,10/1/2024,9:38:07 AM,Taylor Pannell,,Curveball,62.93715942,4.185128633,-0.576633421,,,,2.101395923,-1.465467669,,,
28,10/1/2024,9:38:23 AM,Taylor Pannell,,Curveball,63.48406239,3.791699588,0.198506218,,,,1.920024875,-1.812403532,,,
29,10/1/2024,9:38:39 AM,Taylor Pannell,,Changeup,48.90570246,7.296301166,-0.787085778,660.3455111,289.2791678,3:45,2.137850909,-1.101892986,-52.64329416,-0.18544062,6.477641967
30,10/1/2024,9:38:57 AM,Taylor Pannell,,Curveball,61.61156801,5.924338354,2.993105628,,,,2.039908919,-1.077105153,,,
31,10/1/2024,9:39:15 AM,Taylor Pannell,,Curveball,62.80743822,6.729602859,1.31885453,780.3735546,285.4834597,3:30,2.022720701,-0.271918977,-31.65612497,0.101737338,4.887187348
,,,,,,,,,,,,,,,,
,Curveball Averages,,,Changeup Averages,,,,,,,,,,,,
,Speed,62.24270694,,Speed,49.80827016,,,,,,,,,,,
,Vertical Break,-30.83314225,,Vertical Break,-54.93172073,,,,,,,,,,,
,Horizontal Break,2.249565292,,Horizontal Break,6.108281953,,,,,,,,,,,
,Spin Rate,812.3641715,,Spin Rate,688.8362128,,,,,,,,,,,
,Tilt,3:51,,Tilt,4:03,,,,,,,,,,,
