PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,09/18/2024,12:51:46 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,44.11742812785213,9.37747201095234,4.238718025588659,1039.9482926588792,349.5951979054325,5:45,0.9114783758289453,-2.043088798651478,6.000000191999998,-67.42807026905662,-1.9024991137795695,0.6835777360982482,1.1987437351122503,0.6572808518669911,40.715512543240436,-9.209121214518113,4.428273506139863,0.5826086522885202,,,,,,,,,,,,0.6801295249221784,-5.508405390731221,2.9937010963759483,49.99999999999997,-1.8913043657565323,-4.7761147077850845,-65.34891491232821,17.451233209438445,0.28715930235362874,8.40326044046518,-34.49976813095559,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,b30e7f80-5c57-462a-b771-28d252de27a0,44.169794020332596,0.901868978266935,-2.035877032953803,9.543168353224553,4.110881444821368,40.71590207047608,1.2061192962572116,0.6521896418307123,-9.054816696500296,4.31909561913831,0.5825386295419475,1.4959618156126027,-4.6376190206168255,-74.3519778804799,,280.5021163873997,-1001.4045207139358,26.972698389669763,0.2652916844395458,-0.9629368380937509,-0.04871311947758854,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
2,09/18/2024,12:51:53 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,46.460766193333164,10.297583871345205,2.5858297865837554,1001.7968563157688,4.156508727283798,6:15,0.5915514115612994,-1.7412162300094742,6.000000191999998,-61.509873517823266,-2.3613945517123085,0.09740890454853737,1.9524512163840335,-0.12233902732383593,42.531962259752575,-6.687152403133744,2.6129255946255716,0.5535327394760914,,,,,,,,,,,,0.7738056662577811,-6.318862836196289,2.3236124166686314,50.000000000000014,-2.3639937231877615,-3.093688358775214,-68.72551300170029,18.86887334012678,0.3619062946302113,9.186773821488224,-35.129360376606854,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,7d473ae0-e917-4880-a07d-ef0ef8ecd261,46.51985383223403,0.5824920140727878,-1.7350793923764865,10.452310623998853,2.4771516637589914,42.54214356534569,1.9593696720435085,-0.12665551095813563,-6.54014059782362,2.520358998226734,0.5534653197062736,0.7853751112555007,-4.810175079255136,-71.2487290068842,,322.03807870293355,-948.6244869227656,32.14604604443142,0.3206149495223338,-0.9469230023454545,0.02329982342984329,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
3,09/18/2024,12:52:04 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,45.23535801293868,11.560842239599898,1.239252153267743,1013.00044111772,14.430519565278667,6:30,0.3677298572336369,-1.5008789746291331,6.000000191999998,-65.29743287011917,-2.492919813526072,-0.6329930021522826,2.223831720935866,-0.7820798466356269,41.229131522449194,-6.445212006079468,1.0629245183792921,0.5703834934438943,47.25023725487671,21.60661510673676,1.2459163029729643,781.1063568115234,5.659884916351478,109.85429305489822,1.1183165424883648,112.18237188543937,,2.971170680572122,1.927292339767547,1.1587625353207407,-6.895968107337306,1.7865475808278144,49.99999999999999,-2.9191625716979366,-1.505909646424509,-66.67217107622825,20.20543316367142,0.5103838365571817,8.603232607192751,-35.211419670134255,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,f2763bc9-2e89-4cbf-9507-e457109acf37,45.29480491368273,0.3581207813197226,-1.4947379013274884,11.725719095872332,1.128684467208576,41.236340740884756,2.2313087673419436,-0.7865412034345219,-6.286677173809951,0.9674893758258312,0.5703236923212892,0.06606477645018828,-5.065153587473981,-68.32088516065956,,374.2105076787456,-941.3481766315323,36.94080402036655,0.3577534215026001,-0.9292672919202993,0.0920586202932451,0.955200861209173,43.91976503768041,17.399044542498,0.8225533075167362,3.9675062894833757,2.4671414508781306,5.81480190674944,112.03156983916757,2.9599302981159115,14.242839203224413,0.28982635129483003,0.9608446736920884,-0.039227589893906435,-0.2742967539521019,,,1.0,0,1.0,26.576126143878067,high,high,,,37.083001186656,,,,2022-11
4,09/18/2024,12:52:11 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,45.36381901422732,10.525265116859527,0.9385356130705416,1051.895787556966,0.18469959163596844,6:00,0.5917244844750942,-1.3916705280641184,6.000000191999998,-65.93156843990403,-3.914569067115586,0.2855765212657553,1.7249493173588828,-0.7835865269139096,41.5937113947232,-7.682202713074357,1.0181085158411411,0.5667961572931437,44.910184903923565,30.381762780633906,31.598929148528903,2172.222316576087,65.65879138617134,88.25487584794662,3.993448127842618,115.58503976656152,,36.90304949151431,2.3119940335005116,-0.010863910061879797,-8.197122415533174,1.6004614723028128,49.999999999999936,-2.4584996522829194,-1.0705262040230155,-67.11078891801691,19.138773691478036,-0.004845952509284379,8.747981216806936,-35.830455586436905,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,6a8303c0-b9d4-4ef1-aa16-4113daa45bd6,45.409602811782655,0.5815070661146158,-1.3852403880013722,10.700052913133108,0.8241457748518316,41.58781864775894,1.7323806529165138,-0.7880884225085285,-7.524680662702285,0.9210692752153614,0.5667622898290364,1.0090797411797074,-6.5207895539207446,-62.31901680500478,,488.6562359672912,-931.5040691968925,46.45481441675872,0.46454573044717407,-0.8855478653073761,0.001497522237200146,20.30010639072287,32.998733900810606,22.713739224826664,0.8800937400204358,3.359808197005479,2.019164194868016,69.40451507047864,92.42788922002555,14.61846664660081,1.5737273804578125,0.2537454661350127,0.7364796559935698,-0.04287949379944335,-0.6750993003396587,,,1.0,0,1.0,23.78602304171402,high,high,,,37.083001186656,,,,2022-11
5,09/18/2024,12:52:19 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,43.97599983542719,10.383902660088236,0.32780977523071736,971.498696645101,12.76298198522965,6:30,0.6150137715350182,-1.2778059469550391,6.000000191999998,-69.2821871289216,-3.3451680971666633,-1.1523001808107656,1.3772446522279929,-1.1697688046888033,40.43373714362973,-8.745642847422566,0.006591872808787644,0.5844349466958234,,,,,,,,,,,,1.4528051100246284,-7.498269029611497,1.3630650928538102,49.999999999999986,-2.4347400181060577,-0.4854724218733057,-65.10084602711125,18.72384930175456,0.6095254090243556,8.260029578735402,-35.31995364822561,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,db90b4c5-0bd2-423f-8c3b-8480633ce7d8,44.021133485295245,0.6044524509768094,-1.2717189798477835,10.565525447029838,0.21892358721142177,40.424962453714684,1.3850379618398176,-1.1741164988720554,-8.581723966175671,-0.08688584032132816,0.5844027754651583,-0.4641241408116152,-6.10798759336314,-62.19873627688265,,453.1129591181665,-859.3592751942047,46.640614205959515,0.4548823144547188,-0.884570692849975,0.10303770837530131,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
6,09/18/2024,12:52:27 PM,,,,,,,Mya Dodge,,Right,Mizzou24-25,,,,,,,,,,,,,,,,45.37614338987975,12.435692191070661,1.082062196050149,987.7213745117189,3.360835215958618,6:00,0.21950114825341324,-1.4683052741535123,6.000000191999998,-66.63537630249938,-3.853169271573698,0.3238648088329302,2.53300328599289,-0.767658174570985,41.20752558936284,-5.905152469514341,1.1722547612483942,0.5702821940458129,46.90233907159955,-14.045038065121712,14.950657398879054,678.2582353290758,,,,12.066208979534466,,15.493878152415055,0.13888604128350693,-0.010293715431924552,-8.760339284878228,1.7090826017503566,49.999999999999986,-3.287066531146445,-1.226413884572705,-66.65609644031639,21.403305353945953,-0.004535355154592849,8.547102678003386,-36.03380753194376,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,1b05debd-99f5-4e67-bcf4-7f6e1c2e275d,45.42983471946553,0.2092466944838518,-1.4620506750216113,12.61070161953609,0.9695302833621826,41.20726471347166,2.5407139938018006,-0.7721627157017656,-5.7415560726942765,1.0758552099142888,0.5702418958190789,1.0356314554022739,-6.435858993713393,-62.18758279560546,,460.8493875992036,-873.6196859141616,46.65783281515245,0.4657758758753604,-0.884479883151295,0.027352691882384112,11.738466288400566,43.95994931772375,-11.382472295882677,0.8249826530908941,2.785978872511989,2.666610287394596,3.223311732502585,11.627710893073896,-0.04423621066036164,-0.1992444189017926,-0.013901670843212116,-0.9976878240404317,-0.0018683512851003629,-0.06793758183026498,,,1.0,0,1.0,26.116078888222432,high,high,,,37.083001186656,,,,2022-11
7,09/18/2024,12:52:44 PM,,,,,,,Julia Crenshaw,,Right,Mizzou24-25,,,,,,,,,,,,,,,,45.77364861749164,13.093309665940144,1.1067735682645874,1021.3374206542968,3.5067516298292127,6:00,0.1948947154114258,-1.4075633026512517,6.000000191999998,-65.72281216525543,-3.720435872219987,0.4987491436268215,3.0149672515116186,-0.6769541888292552,41.40838299796154,-4.9652125811945975,1.2456441620511978,0.5667293305026575,,,,,,,,,,,,-0.20669980120274362,-8.823957439132279,1.652185980078723,50.00000000000003,-3.4588169949855545,-1.245049388504077,-67.05927119870167,22.252533516555115,-0.0922142924244242,8.623256655346989,-36.11065226727058,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,f6b44d58-3fd7-4349-b101-3eafd4c06b90,45.83230087184593,0.18462251310167954,-1.401076864767633,13.265876621080087,0.9913975108076765,41.4127040343636,3.0225941471629185,-0.6815264589145416,-4.802714563729885,1.1477650992878237,0.566682587683418,1.2281860909200428,-6.259564152054164,-63.47441566674941,,456.1266116046209,-913.8263735605683,44.65973755396269,0.4457611655613546,-0.8947350357290796,0.027316645406513046,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
8,09/18/2024,12:52:51 PM,,,,,,,Julia Crenshaw,,Right,Mizzou24-25,,,,,,,,,,,,,,,,46.07238121100194,12.322810776460331,0.8717245441359023,1005.8466593424478,7.065011621796143,6:15,0.3117677507166566,-1.466838102478051,6.000000191999998,-64.90604241851662,-4.075650722518297,-0.07269496721240457,2.6952269157726803,-0.9302100000272987,41.83603507262977,-5.545387711618723,0.8514780916945297,0.5613475466477624,38.943093754552834,-25.31708210253422,-45.76076702409404,,,,,7.936059430869669,,-22.828365611280343,0.11029987066911855,0.37918436036753866,-8.971093647525114,1.6640960435755445,50.000000000000036,-3.1509926688808325,-1.037671524196724,-67.70949852591221,21.425437213810678,0.1724252465768157,8.805142470327754,-36.25344524656703,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,15f0c94d-9124-4007-9050-719fdee414c7,46.12580329007058,0.3017710455611566,-1.460990536575841,12.494919651308871,0.7657984066190998,41.837018507960956,2.7028079028867533,-0.934456778458881,-5.383825397463418,0.7603081380873179,0.5613089324708609,0.5975965463965124,-6.585859706809318,-61.062766932589724,,486.6800973999444,-880.2669963739087,48.385118435259486,0.4801774143845663,-0.8751502907504467,0.059511505730919165,-25.220455520195046,24.559444664274654,-16.653133408226413,0.9659813717776832,3.3693013636836864,2.868881059156459,-3.078968284361243,7.314437339549296,,,,,,,,,1.0,0,,17.716931962224812,high,high,,,37.083001186656,,,,2022-11
9,09/18/2024,12:52:59 PM,,,,,,,Julia Crenshaw,,Right,Mizzou24-25,,,,,,,,,,,,,,,,46.971049720119666,11.458505759162307,1.6002846787229092,1060.8342238206126,2.644282626028949,6:00,0.36944029830992187,-1.5114632215758659,6.000000191999998,-61.12056752786531,-2.9017377285863333,0.4463146214777828,2.508382772018668,-0.47784205689676207,42.755063072413684,-5.3950963843445345,1.7245498237584829,0.5491655157383307,69.27350851842105,-13.860428116827709,-17.14523927805271,1298.3455461774556,31.537612496508448,-105.3820619950513,3.1794952563414736,11.498580206987723,,-11.795371875980104,0.09935983022598614,0.025878426271064875,-7.330639848575907,1.8679295677587313,50.000000000000036,-2.85271110973124,-1.8878663480650664,-69.24268547458662,20.422660652931324,0.012296014953587467,9.26880635063298,-35.6571693187574,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,99fc5e59-5978-4564-bc9c-47116c989fc0,47.0317980182538,0.360333237796599,-1.505282860279376,11.614006870546604,1.4896619766867403,42.766525039542046,2.5154378542781264,-0.48229334354005926,-5.245280160975362,1.629603777648853,0.5491041489739354,1.1456811030944098,-5.297710866550252,-68.54086674213669,,388.092934723167,-987.2958646966173,36.58374946892679,0.36544795509298644,-0.9306787455827493,0.016877933489461688,-19.826848047474332,64.26757595325256,-16.59499201708248,0.5082976689926104,2.0188994423358633,2.5959408095448198,-2.3505050652699757,11.25577508280394,0.06722879420305565,-0.28146150071766335,-0.018463713348048513,-0.976471189870704,-0.10267600813804618,0.1896355786906234,,,1.0,0,1.0,42.99305564884321,high,high,,,37.083001186656,,,,2022-11
10,09/18/2024,12:53:06 PM,,,,,,,Julia Crenshaw,,Right,Mizzou24-25,,,,,,,,,,,,,,,,45.35981203465846,12.279925454966405,1.962100558047501,1054.0167798808975,11.249347506436312,6:15,0.2985963718985709,-1.8012033147848736,6.000000191999998,-66.79717988270066,-3.9965914229648405,-0.5451009597670097,2.5001480023168288,-0.6247529927099571,41.229644724127716,-6.103868003181486,1.8104064154392743,0.5703656717927994,57.268334977111415,41.55899528228266,-5.354627706340914,2746.329155815972,-3.8934621690881355,109.93107364170253,53.09203526480597,180.46116903783172,,-0.7068750049599787,3.9469370608558614,1.2981499769546527,-8.870697320257852,2.2491004897625637,50.00000000000001,-3.173952300806091,-2.337925448092207,-66.64353445561018,21.232066581121117,0.5717880957132477,8.53865322000776,-36.081270799605605,,,,,,d8858c0c-b5e5-481c-8137-5451cd7a3cea,8ff6e0a7-d039-4ea3-84ec-d128e3f563a6,45.41216059409228,0.2880102161854623,-1.794996774460641,12.459096184874408,1.8518905086990147,41.227672045621574,2.5078916558674975,-0.6291045667515754,-5.939442395407205,1.71705761550284,0.5703261018008112,0.15237697017261323,-6.600119115115548,-62.479436736632785,,487.02628715744106,-934.7495749601248,46.20669200470171,0.4531894602973028,-0.8868450605366551,0.0901396232362654,-3.998977274370504,42.66535153687686,37.991290449844286,0.6168427667080524,2.570586449498405,2.6200495806938036,-2.2263464223384664,180.44743531596293,12.505769266922735,14.618804645139235,0.6954951438255836,0.9465366561603619,0.13907496696066302,-0.29107818899679055,,,1.0,0,1.0,33.62110526006606,high,high,,,37.083001186656,,,,2022-11
